"Station","Species","n_events"
"C2T1P1","Capra hircus",0
"C2T1P1","Conepatus leuconotus",0
"C2T1P1","Dasypus novemcinctus",0
"C2T1P1","Lynx rufus",1
"C2T1P1","Mephitis macroura",0
"C2T1P1","Nasua narica",0
"C2T1P1","Odocoileus virginianus",3
"C2T1P1","Pecari tajacu",0
"C2T1P1","Persona",4
"C2T1P1","Procyon lotor",0
"C2T1P1","Puma yagouaroundi",0
"C2T1P1","Reptiles",0
"C2T1P1","Roedores",0
"C2T1P1","Spilogale angustigrons",0
"C2T1P1","Sylvilagus floridanus",2
"C2T1P1","Urocyon cinereoargenteus",0
"C2T1P11","Aves",2
"C2T1P11","Bassariscus astutus",0
"C2T1P11","Canis latrans",0
"C2T1P11","Canis lupus familiaris",0
"C2T1P11","Capra hircus",0
"C2T1P11","Conepatus leuconotus",0
"C2T1P11","Dasypus novemcinctus",0
"C2T1P11","Lynx rufus",1
"C2T1P11","Mephitis macroura",0
"C2T1P11","Nasua narica",0
"C2T1P11","Odocoileus virginianus",2
"C2T1P11","Pecari tajacu",1
"C2T1P11","Persona",4
"C2T1P11","Procyon lotor",0
"C2T1P11","Puma yagouaroundi",0
"C2T1P11","Reptiles",0
"C2T1P11","Roedores",0
"C2T1P11","Spilogale angustigrons",0
"C2T1P11","Sylvilagus floridanus",0
"C2T1P11","Urocyon cinereoargenteus",0
"C2T1P21","Aves",0
"C2T1P21","Bassariscus astutus",0
"C2T1P21","Canis latrans",0
"C2T1P21","Canis lupus familiaris",0
"C2T1P21","Capra hircus",0
"C2T1P21","Conepatus leuconotus",0
"C2T1P21","Dasypus novemcinctus",0
"C2T1P21","Lynx rufus",0
"C2T1P21","Mephitis macroura",0
"C2T1P21","Nasua narica",0
"C2T1P21","Odocoileus virginianus",0
"C2T1P21","Pecari tajacu",2
"C2T1P21","Persona",4
"C2T1P21","Procyon lotor",0
"C2T1P21","Puma yagouaroundi",0
"C2T1P21","Reptiles",0
"C2T1P21","Roedores",0
"C2T1P21","Spilogale angustigrons",0
"C2T1P21","Sylvilagus floridanus",1
"C2T1P21","Urocyon cinereoargenteus",2
"C2T2P1","Aves",56
"C2T2P1","Bassariscus astutus",0
"C2T2P1","Canis latrans",0
"C2T2P1","Canis lupus familiaris",0
"C2T2P1","Capra hircus",0
"C2T2P1","Conepatus leuconotus",0
"C2T2P1","Dasypus novemcinctus",1
"C2T2P1","Lynx rufus",1
"C2T2P1","Mephitis macroura",0
"C2T2P1","Nasua narica",0
"C2T2P1","Odocoileus virginianus",3
"C2T2P1","Pecari tajacu",2
"C2T2P1","Persona",3
"C2T2P1","Procyon lotor",0
"C2T2P1","Puma yagouaroundi",0
"C2T2P1","Reptiles",10
"C2T2P1","Roedores",23
"C2T2P1","Spilogale angustigrons",2
"C2T2P1","Sylvilagus floridanus",55
"C2T2P1","Urocyon cinereoargenteus",6
"C2T2P11","Aves",4
"C2T2P11","Bassariscus astutus",0
"C2T2P11","Canis latrans",0
"C2T2P11","Canis lupus familiaris",0
"C2T2P11","Capra hircus",0
"C2T2P11","Conepatus leuconotus",0
"C2T2P11","Dasypus novemcinctus",0
"C2T2P11","Lynx rufus",0
"C2T2P11","Mephitis macroura",0
"C2T2P11","Nasua narica",0
"C2T2P11","Odocoileus virginianus",0
"C2T2P11","Pecari tajacu",0
"C2T2P11","Persona",5
"C2T2P11","Procyon lotor",0
"C2T2P11","Puma yagouaroundi",0
"C2T2P11","Reptiles",0
"C2T2P11","Roedores",0
"C2T2P11","Spilogale angustigrons",0
"C2T2P11","Sylvilagus floridanus",0
"C2T2P11","Urocyon cinereoargenteus",0
"C2T2P21","Aves",9
"C2T2P21","Bassariscus astutus",0
"C2T2P21","Canis latrans",0
"C2T2P21","Canis lupus familiaris",0
"C2T2P21","Capra hircus",0
"C2T2P21","Conepatus leuconotus",0
"C2T2P21","Dasypus novemcinctus",0
"C2T2P21","Lynx rufus",0
"C2T2P21","Mephitis macroura",0
"C2T2P21","Nasua narica",0
"C2T2P21","Odocoileus virginianus",5
"C2T2P21","Pecari tajacu",1
"C2T2P21","Persona",3
"C2T2P21","Procyon lotor",0
"C2T2P21","Puma yagouaroundi",0
"C2T2P21","Reptiles",0
"C2T2P21","Roedores",0
"C2T2P21","Spilogale angustigrons",0
"C2T2P21","Sylvilagus floridanus",4
"C2T2P21","Urocyon cinereoargenteus",8
"C2T3P1","Aves",3
"C2T3P1","Bassariscus astutus",0
"C2T3P1","Canis latrans",0
"C2T3P1","Canis lupus familiaris",0
"C2T3P1","Capra hircus",0
"C2T3P1","Conepatus leuconotus",0
"C2T3P1","Dasypus novemcinctus",0
"C2T3P1","Lynx rufus",5
"C2T3P1","Mephitis macroura",0
"C2T3P1","Nasua narica",0
"C2T3P1","Odocoileus virginianus",5
"C2T3P1","Pecari tajacu",1
"C2T3P1","Persona",4
"C2T3P1","Procyon lotor",0
"C2T3P1","Puma yagouaroundi",0
"C2T3P1","Reptiles",0
"C2T3P1","Roedores",0
"C2T3P1","Spilogale angustigrons",0
"C2T3P1","Sylvilagus floridanus",1
"C2T3P1","Urocyon cinereoargenteus",11
"C2T3P11","Aves",0
"C2T3P11","Bassariscus astutus",0
"C2T3P11","Canis latrans",0
"C2T3P11","Canis lupus familiaris",0
"C2T3P11","Capra hircus",0
"C2T3P11","Conepatus leuconotus",0
"C2T3P11","Dasypus novemcinctus",0
"C2T3P11","Lynx rufus",0
"C2T3P11","Mephitis macroura",0
"C2T3P11","Nasua narica",0
"C2T3P11","Odocoileus virginianus",3
"C2T3P11","Pecari tajacu",0
"C2T3P11","Persona",4
"C2T3P11","Procyon lotor",0
"C2T3P11","Puma yagouaroundi",0
"C2T3P11","Reptiles",0
"C2T3P11","Roedores",0
"C2T3P11","Spilogale angustigrons",0
"C2T3P11","Sylvilagus floridanus",0
"C2T3P11","Urocyon cinereoargenteus",0
"C2T3P21","Aves",13
"C2T3P21","Bassariscus astutus",0
"C2T3P21","Canis latrans",0
"C2T3P21","Canis lupus familiaris",0
"C2T3P21","Capra hircus",0
"C2T3P21","Conepatus leuconotus",3
"C2T3P21","Dasypus novemcinctus",0
"C2T3P21","Lynx rufus",0
"C2T3P21","Mephitis macroura",1
"C2T3P21","Nasua narica",0
"C2T3P21","Odocoileus virginianus",5
"C2T3P21","Pecari tajacu",0
"C2T3P21","Persona",3
"C2T3P21","Procyon lotor",0
"C2T3P21","Puma yagouaroundi",0
"C2T3P21","Reptiles",1
"C2T3P21","Roedores",0
"C2T3P21","Spilogale angustigrons",0
"C2T3P21","Sylvilagus floridanus",6
"C2T3P21","Urocyon cinereoargenteus",12
"C3T0P1","Aves",0
"C3T0P1","Bassariscus astutus",0
"C3T0P1","Canis latrans",0
"C3T0P1","Canis lupus familiaris",0
"C3T0P1","Capra hircus",0
"C3T0P1","Conepatus leuconotus",0
"C3T0P1","Dasypus novemcinctus",0
"C3T0P1","Lynx rufus",0
"C3T0P1","Mephitis macroura",0
"C3T0P1","Nasua narica",0
"C3T0P1","Odocoileus virginianus",0
"C3T0P1","Pecari tajacu",0
"C3T0P1","Persona",0
"C3T0P1","Procyon lotor",0
"C3T0P1","Puma yagouaroundi",0
"C3T0P1","Reptiles",0
"C3T0P1","Roedores",0
"C3T0P1","Spilogale angustigrons",0
"C3T0P1","Sylvilagus floridanus",2
"C3T0P1","Urocyon cinereoargenteus",0
"C3T0P11","Aves",3
"C3T0P11","Bassariscus astutus",0
"C3T0P11","Canis latrans",0
"C3T0P11","Canis lupus familiaris",0
"C3T0P11","Capra hircus",0
"C3T0P11","Conepatus leuconotus",0
"C3T0P11","Dasypus novemcinctus",0
"C3T0P11","Lynx rufus",0
"C3T0P11","Mephitis macroura",0
"C3T0P11","Nasua narica",0
"C3T0P11","Odocoileus virginianus",0
"C3T0P11","Pecari tajacu",0
"C3T0P11","Persona",0
"C3T0P11","Procyon lotor",0
"C3T0P11","Puma yagouaroundi",0
"C3T0P11","Reptiles",0
"C3T0P11","Roedores",0
"C3T0P11","Spilogale angustigrons",0
"C3T0P11","Sylvilagus floridanus",0
"C3T0P11","Urocyon cinereoargenteus",0
"C3T0P21","Aves",0
"C3T0P21","Bassariscus astutus",0
"C3T0P21","Canis latrans",0
"C3T0P21","Canis lupus familiaris",0
"C3T0P21","Capra hircus",0
"C3T0P21","Conepatus leuconotus",0
"C3T0P21","Dasypus novemcinctus",0
"C3T0P21","Lynx rufus",0
"C3T0P21","Mephitis macroura",0
"C3T0P21","Nasua narica",0
"C3T0P21","Odocoileus virginianus",2
"C3T0P21","Pecari tajacu",0
"C3T0P21","Persona",0
"C3T0P21","Procyon lotor",0
"C3T0P21","Puma yagouaroundi",0
"C3T0P21","Reptiles",0
"C3T0P21","Roedores",0
"C3T0P21","Spilogale angustigrons",0
"C3T0P21","Sylvilagus floridanus",0
"C3T0P21","Urocyon cinereoargenteus",0
"C3T1P1","Aves",16
"C3T1P1","Bassariscus astutus",0
"C3T1P1","Canis latrans",0
"C3T1P1","Canis lupus familiaris",0
"C3T1P1","Capra hircus",0
"C3T1P1","Conepatus leuconotus",4
"C3T1P1","Dasypus novemcinctus",0
"C3T1P1","Lynx rufus",0
"C3T1P1","Mephitis macroura",0
"C3T1P1","Nasua narica",0
"C3T1P1","Odocoileus virginianus",1
"C3T1P1","Pecari tajacu",1
"C3T1P1","Persona",1
"C3T1P1","Procyon lotor",0
"C3T1P1","Puma yagouaroundi",0
"C3T1P1","Reptiles",0
"C3T1P1","Roedores",10
"C3T1P1","Spilogale angustigrons",0
"C3T1P1","Sylvilagus floridanus",7
"C3T1P1","Urocyon cinereoargenteus",4
"C3T1P11","Aves",0
"C3T1P11","Bassariscus astutus",0
"C3T1P11","Canis latrans",0
"C3T1P11","Canis lupus familiaris",0
"C3T1P11","Capra hircus",0
"C3T1P11","Conepatus leuconotus",0
"C3T1P11","Dasypus novemcinctus",0
"C3T1P11","Lynx rufus",1
"C3T1P11","Mephitis macroura",0
"C3T1P11","Nasua narica",0
"C3T1P11","Odocoileus virginianus",1
"C3T1P11","Pecari tajacu",0
"C3T1P11","Persona",0
"C3T1P11","Procyon lotor",0
"C3T1P11","Puma yagouaroundi",0
"C3T1P11","Reptiles",0
"C3T1P11","Roedores",0
"C3T1P11","Spilogale angustigrons",0
"C3T1P11","Sylvilagus floridanus",0
"C3T1P11","Urocyon cinereoargenteus",0
"C3T1P21","Aves",1
"C3T1P21","Bassariscus astutus",0
"C3T1P21","Canis latrans",0
"C3T1P21","Canis lupus familiaris",0
"C3T1P21","Capra hircus",0
"C3T1P21","Conepatus leuconotus",3
"C3T1P21","Dasypus novemcinctus",0
"C3T1P21","Lynx rufus",0
"C3T1P21","Mephitis macroura",0
"C3T1P21","Nasua narica",0
"C3T1P21","Odocoileus virginianus",1
"C3T1P21","Pecari tajacu",0
"C3T1P21","Persona",0
"C3T1P21","Procyon lotor",0
"C3T1P21","Puma yagouaroundi",0
"C3T1P21","Reptiles",0
"C3T1P21","Roedores",0
"C3T1P21","Spilogale angustigrons",0
"C3T1P21","Sylvilagus floridanus",0
"C3T1P21","Urocyon cinereoargenteus",1
"C3T3P11","Aves",0
"C3T3P11","Bassariscus astutus",0
"C3T3P11","Canis latrans",0
"C3T3P11","Canis lupus familiaris",0
"C3T3P11","Capra hircus",0
"C3T3P11","Conepatus leuconotus",0
"C3T3P11","Dasypus novemcinctus",0
"C3T3P11","Lynx rufus",0
"C3T3P11","Mephitis macroura",0
"C3T3P11","Nasua narica",0
"C3T3P11","Odocoileus virginianus",0
"C3T3P11","Pecari tajacu",1
"C3T3P11","Persona",0
"C3T3P11","Procyon lotor",0
"C3T3P11","Puma yagouaroundi",0
"C3T3P11","Reptiles",0
"C3T3P11","Roedores",0
"C3T3P11","Spilogale angustigrons",0
"C3T3P11","Sylvilagus floridanus",0
"C3T3P11","Urocyon cinereoargenteus",0
"C3T3P21","Aves",0
"C3T3P21","Bassariscus astutus",1
"C3T3P21","Canis latrans",0
"C3T3P21","Canis lupus familiaris",0
"C3T3P21","Capra hircus",0
"C3T3P21","Conepatus leuconotus",2
"C3T3P21","Dasypus novemcinctus",0
"C3T3P21","Lynx rufus",1
"C3T3P21","Mephitis macroura",0
"C3T3P21","Nasua narica",0
"C3T3P21","Odocoileus virginianus",2
"C3T3P21","Pecari tajacu",0
"C3T3P21","Persona",0
"C3T3P21","Procyon lotor",0
"C3T3P21","Puma yagouaroundi",0
"C3T3P21","Reptiles",0
"C3T3P21","Roedores",0
"C3T3P21","Spilogale angustigrons",0
"C3T3P21","Sylvilagus floridanus",0
"C3T3P21","Urocyon cinereoargenteus",2
"C4T1P1","Aves",5
"C4T1P1","Bassariscus astutus",0
"C4T1P1","Canis latrans",0
"C4T1P1","Canis lupus familiaris",0
"C4T1P1","Capra hircus",0
"C4T1P1","Conepatus leuconotus",0
"C4T1P1","Dasypus novemcinctus",0
"C4T1P1","Lynx rufus",1
"C4T1P1","Mephitis macroura",0
"C4T1P1","Nasua narica",0
"C4T1P1","Odocoileus virginianus",0
"C4T1P1","Pecari tajacu",1
"C4T1P1","Persona",4
"C4T1P1","Procyon lotor",1
"C4T1P1","Puma yagouaroundi",0
"C4T1P1","Reptiles",0
"C4T1P1","Roedores",0
"C4T1P1","Spilogale angustigrons",0
"C4T1P1","Sylvilagus floridanus",2
"C4T1P1","Urocyon cinereoargenteus",0
"C4T1P11","Aves",4
"C4T1P11","Bassariscus astutus",0
"C4T1P11","Canis latrans",0
"C4T1P11","Canis lupus familiaris",1
"C4T1P11","Capra hircus",1
"C4T1P11","Conepatus leuconotus",1
"C4T1P11","Dasypus novemcinctus",0
"C4T1P11","Lynx rufus",0
"C4T1P11","Mephitis macroura",0
"C4T1P11","Nasua narica",0
"C4T1P11","Odocoileus virginianus",2
"C4T1P11","Pecari tajacu",0
"C4T1P11","Persona",4
"C4T1P11","Procyon lotor",0
"C4T1P11","Puma yagouaroundi",0
"C4T1P11","Reptiles",0
"C4T1P11","Roedores",0
"C4T1P11","Spilogale angustigrons",0
"C4T1P11","Sylvilagus floridanus",0
"C4T1P11","Urocyon cinereoargenteus",0
"C4T1P21","Aves",1
"C4T1P21","Bassariscus astutus",0
"C4T1P21","Canis latrans",0
"C4T1P21","Canis lupus familiaris",0
"C4T1P21","Capra hircus",0
"C4T1P21","Conepatus leuconotus",0
"C4T1P21","Dasypus novemcinctus",0
"C4T1P21","Lynx rufus",1
"C4T1P21","Mephitis macroura",0
"C4T1P21","Nasua narica",0
"C4T1P21","Odocoileus virginianus",5
"C4T1P21","Pecari tajacu",0
"C4T1P21","Persona",3
"C4T1P21","Procyon lotor",0
"C4T1P21","Puma yagouaroundi",0
"C4T1P21","Reptiles",0
"C4T1P21","Roedores",0
"C4T1P21","Spilogale angustigrons",0
"C4T1P21","Sylvilagus floridanus",0
"C4T1P21","Urocyon cinereoargenteus",0
"C4T2P1","Aves",14
"C4T2P1","Bassariscus astutus",0
"C4T2P1","Canis latrans",0
"C4T2P1","Canis lupus familiaris",0
"C4T2P1","Capra hircus",0
"C4T2P1","Conepatus leuconotus",1
"C4T2P1","Dasypus novemcinctus",0
"C4T2P1","Lynx rufus",0
"C4T2P1","Mephitis macroura",0
"C4T2P1","Nasua narica",0
"C4T2P1","Odocoileus virginianus",1
"C4T2P1","Pecari tajacu",0
"C4T2P1","Persona",4
"C4T2P1","Procyon lotor",1
"C4T2P1","Puma yagouaroundi",0
"C4T2P1","Reptiles",0
"C4T2P1","Roedores",2
"C4T2P1","Spilogale angustigrons",5
"C4T2P1","Sylvilagus floridanus",30
"C4T2P1","Urocyon cinereoargenteus",1
"C4T2P11","Aves",0
"C4T2P11","Bassariscus astutus",0
"C4T2P11","Canis latrans",0
"C4T2P11","Canis lupus familiaris",0
"C4T2P11","Capra hircus",0
"C4T2P11","Conepatus leuconotus",0
"C4T2P11","Dasypus novemcinctus",0
"C4T2P11","Lynx rufus",0
"C4T2P11","Mephitis macroura",0
"C4T2P11","Nasua narica",0
"C4T2P11","Odocoileus virginianus",1
"C4T2P11","Pecari tajacu",0
"C4T2P11","Persona",3
"C4T2P11","Procyon lotor",0
"C4T2P11","Puma yagouaroundi",0
"C4T2P11","Reptiles",0
"C4T2P11","Roedores",0
"C4T2P11","Spilogale angustigrons",0
"C4T2P11","Sylvilagus floridanus",0
"C4T2P11","Urocyon cinereoargenteus",0
"C4T2P21","Aves",35
"C4T2P21","Bassariscus astutus",0
"C4T2P21","Canis latrans",1
"C4T2P21","Canis lupus familiaris",0
"C4T2P21","Capra hircus",0
"C4T2P21","Conepatus leuconotus",2
"C4T2P21","Dasypus novemcinctus",0
"C4T2P21","Lynx rufus",0
"C4T2P21","Mephitis macroura",1
"C4T2P21","Nasua narica",0
"C4T2P21","Odocoileus virginianus",13
"C4T2P21","Pecari tajacu",0
"C4T2P21","Persona",4
"C4T2P21","Procyon lotor",0
"C4T2P21","Puma yagouaroundi",1
"C4T2P21","Reptiles",1
"C4T2P21","Roedores",0
"C4T2P21","Spilogale angustigrons",0
"C4T2P21","Sylvilagus floridanus",77
"C4T2P21","Urocyon cinereoargenteus",1
"C4T3P1","Aves",0
"C4T3P1","Bassariscus astutus",0
"C4T3P1","Canis latrans",0
"C4T3P1","Canis lupus familiaris",0
"C4T3P1","Capra hircus",2
"C4T3P1","Conepatus leuconotus",0
"C4T3P1","Dasypus novemcinctus",0
"C4T3P1","Lynx rufus",0
"C4T3P1","Mephitis macroura",0
"C4T3P1","Nasua narica",0
"C4T3P1","Odocoileus virginianus",0
"C4T3P1","Pecari tajacu",0
"C4T3P1","Persona",4
"C4T3P1","Procyon lotor",0
"C4T3P1","Puma yagouaroundi",0
"C4T3P1","Reptiles",0
"C4T3P1","Roedores",0
"C4T3P1","Spilogale angustigrons",0
"C4T3P1","Sylvilagus floridanus",1
"C4T3P1","Urocyon cinereoargenteus",0
"C4T3P11","Aves",0
"C4T3P11","Bassariscus astutus",0
"C4T3P11","Canis latrans",0
"C4T3P11","Canis lupus familiaris",0
"C4T3P11","Capra hircus",0
"C4T3P11","Conepatus leuconotus",0
"C4T3P11","Dasypus novemcinctus",0
"C4T3P11","Lynx rufus",0
"C4T3P11","Mephitis macroura",0
"C4T3P11","Nasua narica",0
"C4T3P11","Odocoileus virginianus",0
"C4T3P11","Pecari tajacu",0
"C4T3P11","Persona",5
"C4T3P11","Procyon lotor",0
"C4T3P11","Puma yagouaroundi",0
"C4T3P11","Reptiles",0
"C4T3P11","Roedores",0
"C4T3P11","Spilogale angustigrons",0
"C4T3P11","Sylvilagus floridanus",0
"C4T3P11","Urocyon cinereoargenteus",0
"C4T3P21","Aves",0
"C4T3P21","Bassariscus astutus",0
"C4T3P21","Canis latrans",0
"C4T3P21","Canis lupus familiaris",0
"C4T3P21","Capra hircus",0
"C4T3P21","Conepatus leuconotus",0
"C4T3P21","Dasypus novemcinctus",0
"C4T3P21","Lynx rufus",2
"C4T3P21","Mephitis macroura",0
"C4T3P21","Nasua narica",0
"C4T3P21","Odocoileus virginianus",4
"C4T3P21","Pecari tajacu",0
"C4T3P21","Persona",5
"C4T3P21","Procyon lotor",0
"C4T3P21","Puma yagouaroundi",0
"C4T3P21","Reptiles",0
"C4T3P21","Roedores",0
"C4T3P21","Spilogale angustigrons",0
"C4T3P21","Sylvilagus floridanus",2
"C4T3P21","Urocyon cinereoargenteus",0
"C5T1P1","Aves",178
"C5T1P1","Bassariscus astutus",0
"C5T1P1","Canis latrans",0
"C5T1P1","Canis lupus familiaris",0
"C5T1P1","Capra hircus",0
"C5T1P1","Conepatus leuconotus",5
"C5T1P1","Dasypus novemcinctus",0
"C5T1P1","Lynx rufus",0
"C5T1P1","Mephitis macroura",10
"C5T1P1","Nasua narica",0
"C5T1P1","Odocoileus virginianus",4
"C5T1P1","Pecari tajacu",25
"C5T1P1","Persona",4
"C5T1P1","Procyon lotor",1
"C5T1P1","Puma yagouaroundi",0
"C5T1P1","Reptiles",5
"C5T1P1","Roedores",0
"C5T1P1","Spilogale angustigrons",0
"C5T1P1","Sylvilagus floridanus",30
"C5T1P1","Urocyon cinereoargenteus",36
"C5T1P11","Aves",0
"C5T1P11","Bassariscus astutus",0
"C5T1P11","Canis latrans",0
"C5T1P11","Canis lupus familiaris",0
"C5T1P11","Capra hircus",0
"C5T1P11","Conepatus leuconotus",0
"C5T1P11","Dasypus novemcinctus",0
"C5T1P11","Lynx rufus",0
"C5T1P11","Mephitis macroura",0
"C5T1P11","Nasua narica",0
"C5T1P11","Odocoileus virginianus",0
"C5T1P11","Pecari tajacu",1
"C5T1P11","Persona",4
"C5T1P11","Procyon lotor",0
"C5T1P11","Puma yagouaroundi",0
"C5T1P11","Reptiles",0
"C5T1P11","Roedores",0
"C5T1P11","Spilogale angustigrons",0
"C5T1P11","Sylvilagus floridanus",0
"C5T1P11","Urocyon cinereoargenteus",0
"C5T1P21","Aves",39
"C5T1P21","Bassariscus astutus",0
"C5T1P21","Canis latrans",0
"C5T1P21","Canis lupus familiaris",0
"C5T1P21","Capra hircus",0
"C5T1P21","Conepatus leuconotus",3
"C5T1P21","Dasypus novemcinctus",0
"C5T1P21","Lynx rufus",0
"C5T1P21","Mephitis macroura",1
"C5T1P21","Nasua narica",0
"C5T1P21","Odocoileus virginianus",6
"C5T1P21","Pecari tajacu",12
"C5T1P21","Persona",4
"C5T1P21","Procyon lotor",0
"C5T1P21","Puma yagouaroundi",0
"C5T1P21","Reptiles",28
"C5T1P21","Roedores",7
"C5T1P21","Spilogale angustigrons",2
"C5T1P21","Sylvilagus floridanus",12
"C5T1P21","Urocyon cinereoargenteus",2
"C5T2P1","Aves",5
